Hum,MaxHum,MinHum,Temp,MaxTemp,MinTemp,WindSpeed,Weather
95,,,66.2,,,9.26,3
75,,,24,,,9.26,3
60,,,75.2,,,9.26,95
85,,,30,,,9.26,60
95,,,86,,,3.704,3
75,,,23,,,3.704,60
60,,,73.4,,,27.78,61
80,,,21,,,9.26,63
95,,,69.8,,,3.704,60
80,,,20,,,9.26,3
60,,,68,,,0,60
90,,,30,,,9.26,60
95,,,86,,,9.26,3
75,,,20,,,9.26,3
60,,,68,,,0,60
80,,,20,,,9.26,60
95,,,68,,,9.26,3
80,,,26,,,3.704,60
75,,,78.8,,,27.78,63
85,,,33,,,9.26,63
95,,,91.4,,,3.704,60
80,,,27,,,9.26,3
70,,,80.6,,,0,60
90,,,20,,,9.26,60
95,,,68,,,9.26,3
75,,,26,,,3.704,3
65,,,78.8,,,27.78,60
85,,,33,,,9.26,60
95,,,91.4,,,9.26,3
80,,,26,,,3.704,3
70,,,78.8,,,27.78,61
85,,,24,,,9.26,63
95,,,75.2,,,3.704,61
80,,,26,,,9.26,3
60,,,78.8,,,18.52,61
90,,,34,,,9.26,60
95,,,93.2,,,9.26,3
75,,,26,,,9.26,1
60,,,78.8,,,18.52,60
85,,,25,,,9.26,60
95,,,77,,,9.26,3
,,,26,,,,
,,,78.8,,,,
,,,33,,,,
,,,91.4,,,,
,,,27,,,,
,,,80.6,,,,
,,,20,,,,
,,,68,,,,
,,,26,,,,
,,,78.8,,,,
,,,30,,,,
,,,86,,,,
,,,26,,,,
,,,78.8,,,,
,,,24,,,,
,,,75.2,,,,
,,,25,,,,
,,,77,,,,
,,,33,,,,
,,,91.4,,,,
,,,26,,,,
,,,78.8,,,,
,,,25,,,,
,,,77,,,,
,,,22,,,,
,,,71.6,,,,
,,,30,,,,
,,,86,,,,
,,,25,,,,
,,,77,,,,
,,,20,,,,
,,,68,,,,
,,,22,,,,
,,,71.6,,,,
,,,30,,,,
,,,86,,,,
,,,23,,,,
,,,73.4,,,,
,,,21,,,,
,,,69.8,,,,
,,,24,,,,
,,,75.2,,,,
,,,31,,,,
,,,87.8,,,,
,,,25,,,,
,,,77,,,,
,,,22,,,,
,,,71.6,,,,
,,,25,,,,
,,,77,,,,
,,,30,,,,
,,,86,,,,
,,,25,,,,
,,,77,,,,
,,,20,,,,
,,,68,,,,
,,,25,,,,
,,,77,,,,
,,,32,,,,
,,,89.6,,,,
,,,24,,,,
,,,75.2,,,,
,,,22,,,,
,,,71.6,,,,
,,,23,,,,
,,,73.4,,,,
,,,31,,,,
,,,87.8,,,,
,,,23,,,,
,,,73.4,,,,
,,,22,,,,
,,,71.6,,,,
,,,20,,,,
,,,68,,,,
,,,28,,,,
,,,82.4,,,,
,,,23,,,,
,,,73.4,,,,
,,,19,,,,
,,,66.2,,,,
,,,20,,,,
,,,68,,,,
,,,30,,,,
,,,86,,,,
,,,23,,,,
,,,73.4,,,,
,,,21,,,,
,,,69.8,,,,
,,,21,,,,
,,,69.8,,,,
,,,30,,,,
,,,86,,,,
,,,21,,,,
,,,69.8,,,,
,,,20,,,,
,,,68,,,,
,,,25,,,,
,,,77,,,,
,,,30,,,,
,,,86,,,,
,,,25,,,,
,,,77,,,,
,,,20,,,,
,,,68,,,,
,,,25,,,,
,,,77,,,,
,,,32,,,,
,,,89.6,,,,
,,,24,,,,
,,,75.2,,,,
,,,23,,,,
,,,73.4,,,,
,,,24,,,,
,,,75.2,,,,
,,,33,,,,
,,,91.4,,,,
,,,25,,,,
,,,77,,,,
,,,22,,,,
,,,71.6,,,,
,,,24,,,,
,,,75.2,,,,
,,,30,,,,
,,,86,,,,
,,,22,,,,
,,,71.6,,,,
,,,20,,,,
,,,68,,,,
,,,24,,,,
,,,75.2,,,,
,,,31,,,,
,,,87.8,,,,
,,,24,,,,
,,,75.2,,,,
,,,23,,,,
,,,73.4,,,,
,,,25,,,,
,,,77,,,,
,,,32,,,,
,,,89.6,,,,
,,,25,,,,
,,,77,,,,
,,,23,,,,
,,,73.4,,,,
,,,24,,,,
,,,75.2,,,,
,,,30,,,,
,,,86,,,,
,,,22,,,,
,,,71.6,,,,
,,,20,,,,
,,,68,,,,
,,,24,,,,
,,,75.2,,,,
,,,31,,,,
,,,87.8,,,,
,,,24,,,,
,,,75.2,,,,
,,,23,,,,
,,,73.4,,,,
,,,25,,,,
,,,77,,,,
,,,32,,,,
,,,89.6,,,,
,,,26,,,,
,,,78.8,,,,
,,,26,,,,
,,,78.8,,,,
,,,26,,,,
,,,78.8,,,,
,,,33,,,,
,,,91.4,,,,
,,,27,,,,
,,,80.6,,,,
,,,20,,,,
,,,68,,,,
,,,26,,,,
,,,78.8,,,,
,,,32,,,,
,,,89.6,,,,
,,,26,,,,
,,,78.8,,,,
,,,22,,,,
,,,71.6,,,,
,,,24,,,,
,,,75.2,,,,
,,,31,,,,
,,,87.8,,,,
,,,24,,,,
,,,75.2,,,,
,,,24,,,,
,,,75.2,,,,
,,,24,,,,
,,,75.2,,,,
,,,30,,,,
,,,86,,,,
,,,22,,,,
,,,71.6,,,,
,,,20,,,,
,,,68,,,,
,,,24,,,,
,,,75.2,,,,
